FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
io.netty.handler.codec.sctp.HandlerResult.java.SctpInboundByteStreamHandler.java.SctpInboundByteStreamHandler,SctpInboundByteStreamHandler,0.068318936,2,1,2,0,1,7,1,28,38,0.75,3,5,0,3,6,0,5
io.netty.channel.sctp.oio.HandlerResult.java.OioSctpServerChannel.java.OioSctpServerChannel,OioSctpServerChannel,0.11456048,6,2,6,1,2,305,1,20,266,0.954545455,10,26,0,21,28,0.109090909,32
io.netty.channel.sctp.HandlerResult.java.SctpMessage.java.SctpMessage,SctpMessage,0,1,1,1,0,1,60,1,11,183,0.6,4,18,0,14,15,0.318681319,23
io.netty.channel.sctp.oio.HandlerResult.java.OioSctpChannel.java.OioSctpChannel,OioSctpChannel,0.092314548,10,2,10,1,5,279,1,14,417,0.961538462,24,34,0,25,42,0.164835165,51
io.netty.handler.codec.sctp.HandlerResult.java.SctpOutboundByteStreamHandler.java.SctpOutboundByteStreamHandler,SctpOutboundByteStreamHandler,0.068318936,1,1,1,0,1,0,1,29,34,0.5,1,4,0,1,1,0,1
io.netty.channel.sctp.HandlerResult.java.DefaultSctpServerChannelConfig.java.DefaultSctpServerChannelConfig,DefaultSctpServerChannelConfig,0.180032794,6,1,6,1,2,320,0,30,181,0.952380952,0,22,2,20,20,0.084210526,26
io.netty.channel.sctp.oio.HandlerResult.java.OioSctpChannel.java.OioSctpChannel.OioSctpChannelConfig,OioSctpChannelConfig,0.192663342,3,2,3,2,0,1,0,20,10,1,1,1,0,1,1,0,1
io.netty.channel.sctp.HandlerResult.java.SctpChannelOption.java.SctpChannelOption,SctpChannelOption,0.136637872,1,1,1,0,0,0,0,17,19,0,0,8,0,0,0,0,0
io.netty.handler.codec.sctp.HandlerResult.java.SctpMessageToMessageDecoder.java.SctpMessageToMessageDecoder,SctpMessageToMessageDecoder,0.185726039,2,1,2,0,0,1,0,27,17,1,1,1,0,1,2,0,3
com.sun.nio.sctp.HandlerResult.java.ShutdownNotification.java.ShutdownNotification,ShutdownNotification,0.185726039,2,1,2,1,0,0,0,20,5,1,1,0,0,0,0,0,0
com.sun.nio.sctp.HandlerResult.java.Association.java.Association,Association,0.185726039,1,1,1,0,0,0,0,11,5,1,1,0,0,0,0,0,0
com.sun.nio.sctp.HandlerResult.java.Notification.java.Notification,Notification,0.19091509,1,1,1,0,0,1,0,12,3,1,0,1,4,1,1,0,1
com.sun.nio.sctp.HandlerResult.java.SctpSocketOption.java.SctpSocketOption,SctpSocketOption,0.185726039,0,1,0,0,0,4,0,16,4,1,0,2,0,2,2,0,2
com.sun.nio.sctp.HandlerResult.java.PeerAddressChangeNotification.java.PeerAddressChangeNotification,PeerAddressChangeNotification,0.185726039,2,1,2,1,0,0,0,29,5,1,1,0,0,0,0,0,0
com.sun.nio.sctp.HandlerResult.java.SendFailedNotification.java.SendFailedNotification,SendFailedNotification,0.185726039,2,1,2,1,0,0,0,22,5,1,1,0,0,0,0,0,0
io.netty.channel.sctp.HandlerResult.java.SctpChannel.java.SctpChannel,SctpChannel,0.139484494,3,2,3,0,0,121,0,11,88,0.083333333,0,11,2,11,11,0,11
io.netty.channel.sctp.HandlerResult.java.DefaultSctpChannelConfig.java.DefaultSctpChannelConfig,DefaultSctpChannelConfig,0.111713858,6,1,5,1,1,272,0.5,24,195,0.952380952,0,21,2,20,20,0.147368421,27
io.netty.channel.sctp.nio.HandlerResult.java.NioSctpServerChannel.java.NioSctpServerChannel.NioSctpServerChannelConfig,NioSctpServerChannelConfig,0.192663342,3,2,3,2,0,1,0,26,10,1,1,1,0,1,1,0,1
io.netty.handler.codec.sctp.HandlerResult.java.SctpMessageCompletionHandler.java.SctpMessageCompletionHandler,SctpMessageCompletionHandler,0.068318936,1,1,1,0,1,0,1,28,45,0.5,5,2,0,1,5,0,5
com.sun.nio.sctp.HandlerResult.java.SctpServerChannel.java.SctpServerChannel,SctpServerChannel,0.185726039,3,1,3,0,0,81,0,17,27,1,1,9,0,9,9,0,9
io.netty.channel.sctp.oio.HandlerResult.java.OioSctpServerChannel.java.OioSctpServerChannel.OioSctpServerChannelConfig,OioSctpServerChannelConfig,0.192663342,3,2,3,2,0,1,0,26,10,1,1,1,0,1,1,0,1
io.netty.channel.sctp.HandlerResult.java.SctpNotificationHandler.java.SctpNotificationHandler,SctpNotificationHandler,0.068318936,8,1,8,0,1,17,0.333333333,23,44,0.833333333,0,6,0,5,5,0,5
com.sun.nio.sctp.HandlerResult.java.SctpChannel.java.SctpChannel,SctpChannel,0.185726039,5,1,5,0,0,196,0,11,33,1,1,14,0,14,14,0,14
io.netty.channel.sctp.HandlerResult.java.SctpServerChannelConfig.java.SctpServerChannelConfig,SctpServerChannelConfig,0.136637872,2,1,2,0,0,289,0,23,98,0.5,0,17,1,17,17,0,17
com.sun.nio.sctp.HandlerResult.java.AbstractNotificationHandler.java.AbstractNotificationHandler,AbstractNotificationHandler,0.185726039,8,1,8,0,0,25,0,27,26,1,1,5,0,5,5,0,5
com.sun.nio.sctp.HandlerResult.java.SctpStandardSocketOptions.java.SctpStandardSocketOptions.InitMaxStreams,InitMaxStreams,0.185726039,0,1,0,0,0,9,0,14,15,1,0,3,0,3,3,0,3
io.netty.channel.sctp.HandlerResult.java.SctpServerChannel.java.SctpServerChannel,SctpServerChannel,0.136637872,1,1,1,0,0,49,0,17,62,0,0,7,2,7,7,0,7
io.netty.channel.sctp.HandlerResult.java.SctpChannelConfig.java.SctpChannelConfig,SctpChannelConfig,0.139484494,3,2,3,0,0,289,0,17,103,0.5,0,17,1,17,17,0,17
io.netty.channel.sctp.nio.HandlerResult.java.NioSctpChannel.java.NioSctpChannel,NioSctpChannel,0.153253405,10,2,10,1,3,619,1,14,348,0.961538462,28,29,0,25,42,0,43
io.netty.channel.sctp.nio.HandlerResult.java.NioSctpServerChannel.java.NioSctpServerChannel,NioSctpServerChannel,0.122299065,6,2,6,1,2,474,1,20,200,0.956521739,10,24,0,22,29,0,27
com.sun.nio.sctp.HandlerResult.java.SctpStandardSocketOptions.java.SctpStandardSocketOptions,SctpStandardSocketOptions,0.185726039,3,1,3,0,0,0,0,25,33,1,1,10,0,0,0,0,0
com.sun.nio.sctp.HandlerResult.java.NotificationHandler.java.NotificationHandler,NotificationHandler,0.185726039,0,1,0,0,0,0,0,19,2,1,0,0,0,0,0,0,0
com.sun.nio.sctp.HandlerResult.java.AssociationChangeNotification.java.AssociationChangeNotification,AssociationChangeNotification,0.185726039,2,1,2,1,0,0,0,29,5,1,1,0,0,0,0,0,0
com.sun.nio.sctp.HandlerResult.java.MessageInfo.java.MessageInfo,MessageInfo,0.185726039,2,1,2,0,0,81,0,11,19,1,1,9,0,9,9,0,9
io.netty.channel.sctp.nio.HandlerResult.java.NioSctpChannel.java.NioSctpChannel.NioSctpChannelConfig,NioSctpChannelConfig,0.192663342,3,2,3,2,0,1,0,20,10,1,1,1,0,1,1,0,1
com.sun.nio.sctp.UnsupportedOperatingSystemException.java.UnsupportedOperatingSystemException,UnsupportedOperatingSystemException,0.208499017,0,1,0,0,0,1,0,35,23,1,0,2,0,1,1,0,1
